Year,Country,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Government Corruption,Generosity,Happiness Score
2019,Singapore,1.572,1.463,1.141,0.556,0.453,0.271,6.262
2019,El Salvador,0.794,1.242,0.789,0.43,0.074,0.093,6.253
2019,Italy,1.294,1.488,1.039,0.231,0.03,0.158,6.223
2019,Bahrain,1.362,1.368,0.871,0.536,0.11,0.255,6.199
2019,Slovakia,1.246,1.504,0.881,0.334,0.014,0.121,6.198
2019,Trinidad & Tobago,1.231,1.477,0.713,0.489,0.016,0.185,6.192
2019,Poland,1.206,1.438,0.884,0.483,0.05,0.117,6.182
2019,Uzbekistan,0.745,1.529,0.756,0.631,0.24,0.322,6.174
2019,Lithuania,1.238,1.515,0.818,0.291,0.042,0.043,6.149
2019,Colombia,0.985,1.41,0.841,0.47,0.034,0.099,6.125
2019,Slovenia,1.258,1.523,0.953,0.564,0.057,0.144,6.118
2019,Nicaragua,0.694,1.325,0.835,0.435,0.127,0.2,6.105
2019,Kosovo,0.882,1.232,0.758,0.489,0.006,0.262,6.1
2019,Argentina,1.092,1.432,0.881,0.471,0.05,0.066,6.086
2019,Romania,1.162,1.232,0.825,0.462,0.005,0.083,6.07
2019,Cyprus,1.263,1.223,1.042,0.406,0.041,0.19,6.046
2019,Ecuador,0.912,1.312,0.868,0.498,0.087,0.126,6.028
2019,Kuwait,1.5,1.319,0.808,0.493,0.097,0.142,6.021
2019,Thailand,1.05,1.409,0.828,0.557,0.028,0.359,6.008
2019,Latvia,1.187,1.465,0.812,0.264,0.064,0.075,5.94
2019,South Korea,1.301,1.219,1.036,0.159,0.056,0.175,5.895
2019,Estonia,1.237,1.528,0.874,0.495,0.161,0.103,5.893
2019,Jamaica,0.831,1.478,0.831,0.49,0.028,0.107,5.89
2019,Mauritius,1.12,1.402,0.798,0.498,0.06,0.215,5.888
2019,Japan,1.327,1.419,1.088,0.445,0.14,0.069,5.886
2019,Honduras,0.642,1.236,0.828,0.507,0.078,0.246,5.86
2019,Kazakhstan,1.173,1.508,0.729,0.41,0.096,0.146,5.809
2019,Bolivia,0.776,1.209,0.706,0.511,0.064,0.137,5.779
2019,Hungary,1.201,1.41,0.828,0.199,0.02,0.081,5.758
2019,Paraguay,0.855,1.475,0.777,0.514,0.08,0.184,5.743
2019,Northern Cyprus,1.263,1.252,1.042,0.417,0.162,0.191,5.718
2019,Peru,0.96,1.274,0.854,0.455,0.027,0.083,5.697
2019,Portugal,1.221,1.431,0.999,0.508,0.025,0.047,5.693
2019,Pakistan,0.677,0.886,0.535,0.313,0.098,0.22,5.653
2019,Russia,1.183,1.452,0.726,0.334,0.031,0.082,5.648
2019,Philippines,0.807,1.293,0.657,0.558,0.107,0.117,5.631
2019,Serbia,1.004,1.383,0.854,0.282,0.039,0.137,5.603
2019,Moldova,0.685,1.328,0.739,0.245,0,0.181,5.529
2019,Libya,1.044,1.303,0.673,0.416,0.152,0.133,5.525
2019,Montenegro,1.051,1.361,0.871,0.197,0.08,0.142,5.523
2019,Tajikistan,0.493,1.098,0.718,0.389,0.144,0.23,5.467
2019,Croatia,1.155,1.266,0.914,0.296,0.022,0.119,5.432
2019,Hong Kong,1.438,1.277,1.122,0.44,0.287,0.258,5.43
2019,Dominican Republic,1.015,1.401,0.779,0.497,0.101,0.113,5.425
2019,Bosnia and Herzegovina,0.945,1.212,0.845,0.212,0.006,0.263,5.386
2019,Turkey,1.183,1.36,0.808,0.195,0.106,0.083,5.373
2019,Malaysia,1.221,1.171,0.828,0.508,0.024,0.26,5.339
2019,Belarus,1.067,1.465,0.789,0.235,0.142,0.094,5.323
2019,Greece,1.181,1.156,0.999,0.067,0.034,0,5.287
2019,Mongolia,0.948,1.531,0.667,0.317,0.038,0.235,5.285
2019,North Macedonia,0.983,1.294,0.838,0.345,0.034,0.185,5.274
2019,Nigeria,0.696,1.111,0.245,0.426,0.041,0.215,5.265
2019,Kyrgyzstan,0.551,1.438,0.723,0.508,0.023,0.3,5.261
2019,Turkmenistan,1.052,1.538,0.657,0.394,0.028,0.244,5.247
2019,Algeria,1.002,1.16,0.785,0.086,0.114,0.073,5.211
2019,Morocco,0.801,0.782,0.782,0.418,0.076,0.036,5.208
2019,Azerbaijan,1.043,1.147,0.769,0.351,0.182,0.035,5.208
2019,Lebanon,0.987,1.224,0.815,0.216,0.027,0.166,5.197
2019,Indonesia,0.931,1.203,0.66,0.491,0.028,0.498,5.192
2019,China,1.029,1.125,0.893,0.521,0.1,0.058,5.191
2019,Vietnam,0.741,1.346,0.851,0.543,0.073,0.147,5.175
2019,Bhutan,0.813,1.321,0.604,0.457,0.167,0.37,5.082
2019,Cameroon,0.549,0.91,0.331,0.381,0.037,0.187,5.044
2019,Bulgaria,1.092,1.513,0.815,0.311,0.004,0.081,5.011
2019,Ghana,0.611,0.868,0.486,0.381,0.04,0.245,4.996
2019,Ivory Coast,0.569,0.808,0.232,0.352,0.09,0.154,4.944
2019,Nepal,0.446,1.226,0.677,0.439,0.089,0.285,4.913
2019,Jordan,0.837,1.225,0.815,0.383,0.13,0.11,4.906
2019,Benin,0.393,0.437,0.397,0.349,0.082,0.175,4.883
2019,Congo (Brazzaville),0.673,0.799,0.508,0.372,0.093,0.105,4.812
2019,Gabon,1.057,1.183,0.571,0.295,0.055,0.043,4.799
2019,Laos,0.764,1.03,0.551,0.547,0.164,0.266,4.796
2019,South Africa,0.96,1.351,0.469,0.389,0.055,0.13,4.722
2019,Albania,0.947,0.848,0.874,0.383,0.027,0.178,4.719
2019,Venezuela,0.96,1.427,0.805,0.154,0.047,0.064,4.707
2019,Cambodia,0.574,1.122,0.637,0.609,0.062,0.232,4.7
2019,Palestinian Territories,0.657,1.247,0.672,0.225,0.066,0.103,4.696
2019,Senegal,0.45,1.134,0.571,0.292,0.072,0.153,4.681
2019,Somalia,0,0.698,0.268,0.559,0.27,0.243,4.668
2019,Namibia,0.879,1.313,0.477,0.401,0.056,0.07,4.639
2019,Niger,0.138,0.774,0.366,0.318,0.102,0.188,4.628
2019,Burkina Faso,0.331,1.056,0.38,0.255,0.113,0.177,4.587
2019,Armenia,0.85,1.055,0.815,0.283,0.064,0.095,4.559
2019,Iran,1.1,0.842,0.785,0.305,0.125,0.27,4.548
2019,Guinea,0.38,0.829,0.375,0.332,0.086,0.207,4.534
2019,Georgia,0.886,0.666,0.752,0.346,0.164,0.043,4.519
2019,Gambia,0.308,0.939,0.428,0.382,0.167,0.269,4.516
2019,Kenya,0.512,0.983,0.581,0.431,0.053,0.372,4.509
2019,Mauritania,0.57,1.167,0.489,0.066,0.088,0.106,4.49
2019,Mozambique,0.204,0.986,0.39,0.494,0.138,0.197,4.466
2019,Tunisia,0.921,1,0.815,0.167,0.055,0.059,4.461
2019,Bangladesh,0.562,0.928,0.723,0.527,0.143,0.166,4.456
2019,Iraq,1.043,0.98,0.574,0.241,0.089,0.148,4.437
2019,Congo (Kinshasa),0.094,1.125,0.357,0.269,0.053,0.212,4.418
2019,Mali,0.385,1.105,0.308,0.327,0.052,0.153,4.39
2019,Sierra Leone,0.268,0.841,0.242,0.309,0.045,0.252,4.374
2019,Sri Lanka,0.949,1.265,0.831,0.47,0.047,0.244,4.366
2019,Myanmar,0.71,1.181,0.555,0.525,0.172,0.566,4.36
2019,Chad,0.35,0.766,0.192,0.174,0.078,0.198,4.35
2019,Ukraine,0.82,1.39,0.739,0.178,0.01,0.187,4.332
2019,Ethiopia,0.336,1.033,0.532,0.344,0.1,0.209,4.286
2019,Swaziland,0.811,1.149,0,0.313,0.135,0.074,4.212
2019,Uganda,0.332,1.069,0.443,0.356,0.06,0.252,4.189
2019,Egypt,0.913,1.039,0.644,0.241,0.067,0.076,4.166
2019,Zambia,0.578,1.058,0.426,0.431,0.087,0.247,4.107
2019,Togo,0.275,0.572,0.41,0.293,0.085,0.177,4.085
2019,India,0.755,0.765,0.588,0.498,0.085,0.2,4.015
2019,Liberia,0.073,0.922,0.443,0.37,0.033,0.233,3.975
2019,Comoros,0.274,0.757,0.505,0.142,0.078,0.275,3.973
2019,Madagascar,0.274,0.916,0.555,0.148,0.041,0.169,3.933
2019,Lesotho,0.489,1.169,0.168,0.359,0.093,0.107,3.802
2019,Burundi,0.046,0.447,0.38,0.22,0.18,0.176,3.775
2019,Zimbabwe,0.366,1.114,0.433,0.361,0.089,0.151,3.663
2019,Haiti,0.323,0.688,0.449,0.026,0.11,0.419,3.597
2019,Botswana,1.041,1.145,0.538,0.455,0.1,0.025,3.488
2019,Syria,0.619,0.378,0.44,0.013,0.141,0.331,3.462
2019,Malawi,0.191,0.56,0.495,0.443,0.089,0.218,3.41
2019,Yemen,0.287,1.163,0.463,0.143,0.077,0.108,3.38
2019,Rwanda,0.359,0.711,0.614,0.555,0.411,0.217,3.334
2019,Tanzania,0.476,0.885,0.499,0.417,0.147,0.276,3.231
2019,Afghanistan,0.35,0.517,0.361,0,0.025,0.158,3.203
2019,Central African Republic,0.026,0,0.105,0.225,0.035,0.235,3.083
2019,South Sudan,0.306,0.575,0.295,0.01,0.091,0.202,2.853
